"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.wrongwrong.main.deser.A_1P_Ctor.missing","ss",1,10,21.159273,0.556829,"ms/op"
"org.wrongwrong.main.deser.A_1P_Ctor.present","ss",1,10,20.147928,1.316734,"ms/op"
"org.wrongwrong.main.deser.A_1P_Func.missing","ss",1,10,36.317474,2.879273,"ms/op"
"org.wrongwrong.main.deser.A_1P_Func.present","ss",1,10,32.809720,3.502884,"ms/op"
"org.wrongwrong.main.deser.E_5P_Ctor.missing","ss",1,10,23.395178,0.672826,"ms/op"
"org.wrongwrong.main.deser.E_5P_Ctor.present","ss",1,10,23.539840,3.618695,"ms/op"
"org.wrongwrong.main.deser.E_5P_Func.missing","ss",1,10,36.837112,5.047786,"ms/op"
"org.wrongwrong.main.deser.E_5P_Func.present","ss",1,10,33.663334,2.552014,"ms/op"
"org.wrongwrong.main.deser.T_20P_Ctor.missing","ss",1,10,31.473499,2.080331,"ms/op"
"org.wrongwrong.main.deser.T_20P_Ctor.present","ss",1,10,28.472863,1.996570,"ms/op"
"org.wrongwrong.main.deser.T_20P_Func.missing","ss",1,10,43.149603,2.151828,"ms/op"
"org.wrongwrong.main.deser.T_20P_Func.present","ss",1,10,40.817950,2.692556,"ms/op"
