"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.wrongwrong.main.deser.A_1P_Ctor.missing","ss",1,10,33.823282,3.882151,"ms/op"
"org.wrongwrong.main.deser.A_1P_Ctor.present","ss",1,10,29.493252,3.549323,"ms/op"
"org.wrongwrong.main.deser.A_1P_Func.missing","ss",1,10,33.706697,3.145776,"ms/op"
"org.wrongwrong.main.deser.A_1P_Func.present","ss",1,10,30.956047,2.515943,"ms/op"
"org.wrongwrong.main.deser.E_5P_Ctor.missing","ss",1,10,33.414791,3.070680,"ms/op"
"org.wrongwrong.main.deser.E_5P_Ctor.present","ss",1,10,31.495103,1.031321,"ms/op"
"org.wrongwrong.main.deser.E_5P_Func.missing","ss",1,10,33.951923,2.691450,"ms/op"
"org.wrongwrong.main.deser.E_5P_Func.present","ss",1,10,31.305599,2.855519,"ms/op"
"org.wrongwrong.main.deser.T_20P_Ctor.missing","ss",1,10,38.427185,1.225293,"ms/op"
"org.wrongwrong.main.deser.T_20P_Ctor.present","ss",1,10,35.103276,0.757451,"ms/op"
"org.wrongwrong.main.deser.T_20P_Func.missing","ss",1,10,40.597651,1.192323,"ms/op"
"org.wrongwrong.main.deser.T_20P_Func.present","ss",1,10,37.169131,1.606430,"ms/op"
