"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.wrongwrong.main.deser.A_1P_Ctor.missing","thrpt",1,4,432207.530027,22512.966236,"ops/s"
"org.wrongwrong.main.deser.A_1P_Ctor.present","thrpt",1,4,715915.804259,175498.316985,"ops/s"
"org.wrongwrong.main.deser.A_1P_Func.missing","thrpt",1,4,388852.810379,35444.691639,"ops/s"
"org.wrongwrong.main.deser.A_1P_Func.present","thrpt",1,4,494871.737913,63383.077116,"ops/s"
"org.wrongwrong.main.deser.E_5P_Ctor.missing","thrpt",1,4,146608.325851,5976.791635,"ops/s"
"org.wrongwrong.main.deser.E_5P_Ctor.present","thrpt",1,4,275657.601345,45739.828139,"ops/s"
"org.wrongwrong.main.deser.E_5P_Func.missing","thrpt",1,4,143950.096168,9522.782252,"ops/s"
"org.wrongwrong.main.deser.E_5P_Func.present","thrpt",1,4,208275.103115,3767.425539,"ops/s"
"org.wrongwrong.main.deser.T_20P_Ctor.missing","thrpt",1,4,40411.141090,5062.381010,"ops/s"
"org.wrongwrong.main.deser.T_20P_Ctor.present","thrpt",1,4,79691.679785,1864.335165,"ops/s"
"org.wrongwrong.main.deser.T_20P_Func.missing","thrpt",1,4,40891.229156,3326.696917,"ops/s"
"org.wrongwrong.main.deser.T_20P_Func.present","thrpt",1,4,59116.173840,4939.460209,"ops/s"
