"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.wrongwrong.main.deser.A_1P_Ctor.missing","thrpt",1,9,1030138.393531,62155.836899,"ops/s"
"org.wrongwrong.main.deser.A_1P_Ctor.present","thrpt",1,9,1560150.837161,152624.085451,"ops/s"
"org.wrongwrong.main.deser.A_1P_Func.missing","thrpt",1,9,1027978.500192,62932.306777,"ops/s"
"org.wrongwrong.main.deser.A_1P_Func.present","thrpt",1,9,1517940.174159,117385.861163,"ops/s"
"org.wrongwrong.main.deser.E_5P_Ctor.missing","thrpt",1,9,516054.001842,2947.162757,"ops/s"
"org.wrongwrong.main.deser.E_5P_Ctor.present","thrpt",1,9,724478.159704,13472.543976,"ops/s"
"org.wrongwrong.main.deser.E_5P_Func.missing","thrpt",1,9,499117.257422,17017.279856,"ops/s"
"org.wrongwrong.main.deser.E_5P_Func.present","thrpt",1,9,710088.132414,40273.136821,"ops/s"
"org.wrongwrong.main.deser.T_20P_Ctor.missing","thrpt",1,9,148894.600212,5222.077773,"ops/s"
"org.wrongwrong.main.deser.T_20P_Ctor.present","thrpt",1,9,239878.286835,6840.035905,"ops/s"
"org.wrongwrong.main.deser.T_20P_Func.missing","thrpt",1,9,155652.133952,2014.911716,"ops/s"
"org.wrongwrong.main.deser.T_20P_Func.present","thrpt",1,9,237605.671222,2775.672094,"ops/s"
