"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.wrongwrong.extra.deser.Collections.array","ss",1,5,32.587432,0.670332,"ms/op"
"org.wrongwrong.extra.deser.Collections.list","ss",1,5,33.247227,5.898811,"ms/op"
"org.wrongwrong.extra.deser.Collections.map","ss",1,5,34.691104,1.688068,"ms/op"
"org.wrongwrong.extra.deser.value_class.A_1P_Ctor.missing","ss",1,5,32.814871,1.054566,"ms/op"
"org.wrongwrong.extra.deser.value_class.A_1P_Ctor.present","ss",1,5,32.354510,2.041989,"ms/op"
"org.wrongwrong.extra.deser.value_class.A_1P_Func.missing","ss",1,5,33.767285,1.928275,"ms/op"
"org.wrongwrong.extra.deser.value_class.A_1P_Func.present","ss",1,5,33.053148,1.968281,"ms/op"
"org.wrongwrong.extra.deser.value_class.E_5P_Ctor.missing","ss",1,5,34.823281,1.244725,"ms/op"
"org.wrongwrong.extra.deser.value_class.E_5P_Ctor.present","ss",1,5,34.830181,3.082277,"ms/op"
"org.wrongwrong.extra.deser.value_class.E_5P_Func.missing","ss",1,5,36.338836,1.314880,"ms/op"
"org.wrongwrong.extra.deser.value_class.E_5P_Func.present","ss",1,5,36.375396,5.590818,"ms/op"
"org.wrongwrong.extra.deser.value_class.T_20P_Ctor.missing","ss",1,5,42.232877,11.483090,"ms/op"
"org.wrongwrong.extra.deser.value_class.T_20P_Ctor.present","ss",1,5,41.281899,3.182030,"ms/op"
"org.wrongwrong.extra.deser.value_class.T_20P_Func.missing","ss",1,5,46.178343,24.138764,"ms/op"
"org.wrongwrong.extra.deser.value_class.T_20P_Func.present","ss",1,5,45.939403,20.278821,"ms/op"
"org.wrongwrong.extra.deser.wrapper.A_1P_Ctor.missing","ss",1,5,32.103950,1.058235,"ms/op"
"org.wrongwrong.extra.deser.wrapper.A_1P_Ctor.present","ss",1,5,29.603120,1.022813,"ms/op"
"org.wrongwrong.extra.deser.wrapper.A_1P_Func.missing","ss",1,5,33.185087,1.353938,"ms/op"
"org.wrongwrong.extra.deser.wrapper.A_1P_Func.present","ss",1,5,30.622976,1.046203,"ms/op"
"org.wrongwrong.extra.deser.wrapper.E_5P_Ctor.missing","ss",1,5,34.701722,6.057085,"ms/op"
"org.wrongwrong.extra.deser.wrapper.E_5P_Ctor.present","ss",1,5,32.592629,5.071089,"ms/op"
"org.wrongwrong.extra.deser.wrapper.E_5P_Func.missing","ss",1,5,35.989897,2.814984,"ms/op"
"org.wrongwrong.extra.deser.wrapper.E_5P_Func.present","ss",1,5,32.754207,2.351615,"ms/op"
"org.wrongwrong.extra.deser.wrapper.T_20P_Ctor.missing","ss",1,5,40.388322,1.580134,"ms/op"
"org.wrongwrong.extra.deser.wrapper.T_20P_Ctor.present","ss",1,5,37.629192,1.680642,"ms/op"
"org.wrongwrong.extra.deser.wrapper.T_20P_Func.missing","ss",1,5,43.022693,4.649389,"ms/op"
"org.wrongwrong.extra.deser.wrapper.T_20P_Func.present","ss",1,5,40.692461,9.931424,"ms/op"
"org.wrongwrong.extra.ser.value_class.A_1P.call","ss",1,5,116.927835,10.293190,"ms/op"
"org.wrongwrong.extra.ser.value_class.E_5P.call","ss",1,5,120.027010,6.588053,"ms/op"
"org.wrongwrong.extra.ser.value_class.T_20P.call","ss",1,5,137.944192,24.124691,"ms/op"
"org.wrongwrong.extra.ser.wrapper.A_1P.call","ss",1,5,110.152742,11.349971,"ms/op"
"org.wrongwrong.extra.ser.wrapper.E_5P.call","ss",1,5,115.073562,11.347778,"ms/op"
"org.wrongwrong.extra.ser.wrapper.T_20P.call","ss",1,5,129.715094,27.796269,"ms/op"
"org.wrongwrong.main.deser.A_1P_Ctor.missing","ss",1,5,34.115156,0.892018,"ms/op"
"org.wrongwrong.main.deser.A_1P_Ctor.present","ss",1,5,31.485897,0.776945,"ms/op"
"org.wrongwrong.main.deser.A_1P_Func.missing","ss",1,5,35.302419,0.761644,"ms/op"
"org.wrongwrong.main.deser.A_1P_Func.present","ss",1,5,32.036314,1.113689,"ms/op"
"org.wrongwrong.main.deser.E_5P_Ctor.missing","ss",1,5,36.320659,3.613885,"ms/op"
"org.wrongwrong.main.deser.E_5P_Ctor.present","ss",1,5,33.649589,3.842369,"ms/op"
"org.wrongwrong.main.deser.E_5P_Func.missing","ss",1,5,37.081956,3.706258,"ms/op"
"org.wrongwrong.main.deser.E_5P_Func.present","ss",1,5,33.497510,0.500602,"ms/op"
"org.wrongwrong.main.deser.T_20P_Ctor.missing","ss",1,5,40.323624,1.727978,"ms/op"
"org.wrongwrong.main.deser.T_20P_Ctor.present","ss",1,5,38.471336,4.701399,"ms/op"
"org.wrongwrong.main.deser.T_20P_Func.missing","ss",1,5,43.112622,2.956196,"ms/op"
"org.wrongwrong.main.deser.T_20P_Func.present","ss",1,5,40.460624,4.217267,"ms/op"
"org.wrongwrong.main.ser.A_1P.call","ss",1,5,107.263729,8.946125,"ms/op"
"org.wrongwrong.main.ser.E_5P.call","ss",1,5,111.050713,10.259093,"ms/op"
"org.wrongwrong.main.ser.T_20P.call","ss",1,5,122.077369,21.449531,"ms/op"
