"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.wrongwrong.extra.deser.Collections.array","thrpt",1,4,732118.674569,45959.982421,"ops/s"
"org.wrongwrong.extra.deser.Collections.list","thrpt",1,4,703112.093320,38594.967675,"ops/s"
"org.wrongwrong.extra.deser.Collections.map","thrpt",1,4,508592.190573,237109.648676,"ops/s"
"org.wrongwrong.extra.deser.value_class.A_1P_Ctor.missing","thrpt",1,4,860835.094955,156720.107247,"ops/s"
"org.wrongwrong.extra.deser.value_class.A_1P_Ctor.present","thrpt",1,4,915361.256021,118238.633712,"ops/s"
"org.wrongwrong.extra.deser.value_class.A_1P_Func.missing","thrpt",1,4,852172.632258,78067.647612,"ops/s"
"org.wrongwrong.extra.deser.value_class.A_1P_Func.present","thrpt",1,4,906281.898603,160494.285414,"ops/s"
"org.wrongwrong.extra.deser.value_class.E_5P_Ctor.missing","thrpt",1,4,437865.024946,91549.038836,"ops/s"
"org.wrongwrong.extra.deser.value_class.E_5P_Ctor.present","thrpt",1,4,371908.251437,21723.810351,"ops/s"
"org.wrongwrong.extra.deser.value_class.E_5P_Func.missing","thrpt",1,4,420327.965593,47669.094014,"ops/s"
"org.wrongwrong.extra.deser.value_class.E_5P_Func.present","thrpt",1,4,376900.382764,42220.782350,"ops/s"
"org.wrongwrong.extra.deser.value_class.T_20P_Ctor.missing","thrpt",1,4,124095.924143,6723.599783,"ops/s"
"org.wrongwrong.extra.deser.value_class.T_20P_Ctor.present","thrpt",1,4,107703.748861,18758.491194,"ops/s"
"org.wrongwrong.extra.deser.value_class.T_20P_Func.missing","thrpt",1,4,126444.507465,7968.420724,"ops/s"
"org.wrongwrong.extra.deser.value_class.T_20P_Func.present","thrpt",1,4,109561.212846,33480.609862,"ops/s"
"org.wrongwrong.extra.deser.wrapper.A_1P_Ctor.missing","thrpt",1,4,838068.665689,141588.078976,"ops/s"
"org.wrongwrong.extra.deser.wrapper.A_1P_Ctor.present","thrpt",1,4,1140278.741436,319622.030524,"ops/s"
"org.wrongwrong.extra.deser.wrapper.A_1P_Func.missing","thrpt",1,4,818015.489373,135486.014460,"ops/s"
"org.wrongwrong.extra.deser.wrapper.A_1P_Func.present","thrpt",1,4,1130774.008549,309534.151118,"ops/s"
"org.wrongwrong.extra.deser.wrapper.E_5P_Ctor.missing","thrpt",1,4,438438.978295,126400.637780,"ops/s"
"org.wrongwrong.extra.deser.wrapper.E_5P_Ctor.present","thrpt",1,4,594323.392870,27654.997647,"ops/s"
"org.wrongwrong.extra.deser.wrapper.E_5P_Func.missing","thrpt",1,4,419455.661919,17812.781349,"ops/s"
"org.wrongwrong.extra.deser.wrapper.E_5P_Func.present","thrpt",1,4,568895.612267,120584.556612,"ops/s"
"org.wrongwrong.extra.deser.wrapper.T_20P_Ctor.missing","thrpt",1,4,129109.196412,6261.426292,"ops/s"
"org.wrongwrong.extra.deser.wrapper.T_20P_Ctor.present","thrpt",1,4,174247.586689,32479.816342,"ops/s"
"org.wrongwrong.extra.deser.wrapper.T_20P_Func.missing","thrpt",1,4,127589.061204,8981.975647,"ops/s"
"org.wrongwrong.extra.deser.wrapper.T_20P_Func.present","thrpt",1,4,185741.860676,19259.254626,"ops/s"
"org.wrongwrong.extra.ser.value_class.A_1P.call","thrpt",1,4,884838.190745,18150.888814,"ops/s"
"org.wrongwrong.extra.ser.value_class.E_5P.call","thrpt",1,4,257716.234958,28284.737059,"ops/s"
"org.wrongwrong.extra.ser.value_class.T_20P.call","thrpt",1,4,70079.042104,2033.402714,"ops/s"
"org.wrongwrong.extra.ser.wrapper.A_1P.call","thrpt",1,4,2021894.708741,162873.150020,"ops/s"
"org.wrongwrong.extra.ser.wrapper.E_5P.call","thrpt",1,4,1192615.947486,15192.740943,"ops/s"
"org.wrongwrong.extra.ser.wrapper.T_20P.call","thrpt",1,4,438787.030926,39790.635205,"ops/s"
"org.wrongwrong.main.deser.A_1P_Ctor.missing","thrpt",1,4,861147.711578,176670.706441,"ops/s"
"org.wrongwrong.main.deser.A_1P_Ctor.present","thrpt",1,4,1189561.389625,46625.390879,"ops/s"
"org.wrongwrong.main.deser.A_1P_Func.missing","thrpt",1,4,836470.363013,137007.929875,"ops/s"
"org.wrongwrong.main.deser.A_1P_Func.present","thrpt",1,4,1079634.487044,57951.019634,"ops/s"
"org.wrongwrong.main.deser.E_5P_Ctor.missing","thrpt",1,4,428513.690384,62132.692430,"ops/s"
"org.wrongwrong.main.deser.E_5P_Ctor.present","thrpt",1,4,599734.048190,80001.821066,"ops/s"
"org.wrongwrong.main.deser.E_5P_Func.missing","thrpt",1,4,441954.752307,21131.374360,"ops/s"
"org.wrongwrong.main.deser.E_5P_Func.present","thrpt",1,4,599198.497920,36874.213759,"ops/s"
"org.wrongwrong.main.deser.T_20P_Ctor.missing","thrpt",1,4,123448.436243,17594.667677,"ops/s"
"org.wrongwrong.main.deser.T_20P_Ctor.present","thrpt",1,4,192741.094621,10789.177264,"ops/s"
"org.wrongwrong.main.deser.T_20P_Func.missing","thrpt",1,4,124663.002349,8358.030969,"ops/s"
"org.wrongwrong.main.deser.T_20P_Func.present","thrpt",1,4,185219.230751,22337.378314,"ops/s"
"org.wrongwrong.main.ser.A_1P.call","thrpt",1,4,2109203.608302,264265.800716,"ops/s"
"org.wrongwrong.main.ser.E_5P.call","thrpt",1,4,1257342.704617,132697.920765,"ops/s"
"org.wrongwrong.main.ser.T_20P.call","thrpt",1,4,491231.546364,67875.723699,"ops/s"
