"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.wrongwrong.extra.deser.Collections.array","ss",1,5,50.515987,8.880837,"ms/op"
"org.wrongwrong.extra.deser.Collections.list","ss",1,5,48.989930,12.552487,"ms/op"
"org.wrongwrong.extra.deser.Collections.map","ss",1,5,55.364990,24.362986,"ms/op"
"org.wrongwrong.extra.deser.value_class.A_1Props_Constructor.call","ss",1,5,46.457186,8.966652,"ms/op"
"org.wrongwrong.extra.deser.value_class.A_1Props_Constructor.call_default","ss",1,5,48.119479,6.819418,"ms/op"
"org.wrongwrong.extra.deser.value_class.A_1Props_Function.call","ss",1,5,51.850868,26.781828,"ms/op"
"org.wrongwrong.extra.deser.value_class.A_1Props_Function.call_default","ss",1,5,50.143786,16.495414,"ms/op"
"org.wrongwrong.extra.deser.value_class.E_5Props_Constructor.call","ss",1,5,51.309139,8.986502,"ms/op"
"org.wrongwrong.extra.deser.value_class.E_5Props_Constructor.call_default","ss",1,5,49.582586,5.468593,"ms/op"
"org.wrongwrong.extra.deser.value_class.E_5Props_Function.call","ss",1,5,51.741259,6.935352,"ms/op"
"org.wrongwrong.extra.deser.value_class.E_5Props_Function.call_default","ss",1,5,53.335051,18.565620,"ms/op"
"org.wrongwrong.extra.deser.value_class.T_20Props_Constructor.call","ss",1,5,61.528501,8.769411,"ms/op"
"org.wrongwrong.extra.deser.value_class.T_20Props_Constructor.call_default","ss",1,5,58.212335,12.848880,"ms/op"
"org.wrongwrong.extra.deser.value_class.T_20Props_Function.call","ss",1,5,66.006322,22.562312,"ms/op"
"org.wrongwrong.extra.deser.value_class.T_20Props_Function.call_default","ss",1,5,70.381969,31.196787,"ms/op"
"org.wrongwrong.extra.deser.wrapper.A_1Props_Constructor.call","ss",1,5,45.335371,12.495958,"ms/op"
"org.wrongwrong.extra.deser.wrapper.A_1Props_Constructor.call_default","ss",1,5,47.109285,8.452164,"ms/op"
"org.wrongwrong.extra.deser.wrapper.A_1Props_Function.call","ss",1,5,44.571470,4.573475,"ms/op"
"org.wrongwrong.extra.deser.wrapper.A_1Props_Function.call_default","ss",1,5,47.983180,8.347576,"ms/op"
"org.wrongwrong.extra.deser.wrapper.E_5Props_Constructor.call","ss",1,5,47.519994,4.465451,"ms/op"
"org.wrongwrong.extra.deser.wrapper.E_5Props_Constructor.call_default","ss",1,5,49.035552,3.067509,"ms/op"
"org.wrongwrong.extra.deser.wrapper.E_5Props_Function.call","ss",1,5,49.728557,7.734900,"ms/op"
"org.wrongwrong.extra.deser.wrapper.E_5Props_Function.call_default","ss",1,5,51.912437,10.154321,"ms/op"
"org.wrongwrong.extra.deser.wrapper.T_20Props_Constructor.call","ss",1,5,55.446688,13.742759,"ms/op"
"org.wrongwrong.extra.deser.wrapper.T_20Props_Constructor.call_default","ss",1,5,60.582065,30.409764,"ms/op"
"org.wrongwrong.extra.deser.wrapper.T_20Props_Function.call","ss",1,5,56.543704,10.115162,"ms/op"
"org.wrongwrong.extra.deser.wrapper.T_20Props_Function.call_default","ss",1,5,71.801667,27.451177,"ms/op"
"org.wrongwrong.extra.ser.value_class.A_1Props.call","ss",1,5,177.067811,32.084905,"ms/op"
"org.wrongwrong.extra.ser.value_class.E_5Props.call","ss",1,5,189.552934,19.113325,"ms/op"
"org.wrongwrong.extra.ser.value_class.T_20Props.call","ss",1,5,206.226085,31.532971,"ms/op"
"org.wrongwrong.extra.ser.wrapper.A_1Props.call","ss",1,5,165.847030,26.097929,"ms/op"
"org.wrongwrong.extra.ser.wrapper.E_5Props.call","ss",1,5,173.344035,23.699335,"ms/op"
"org.wrongwrong.extra.ser.wrapper.T_20Props.call","ss",1,5,196.136740,61.549170,"ms/op"
"org.wrongwrong.main.deser.A_1Props_Constructor.call","ss",1,5,46.102728,5.987855,"ms/op"
"org.wrongwrong.main.deser.A_1Props_Constructor.call_default","ss",1,5,50.662894,11.656818,"ms/op"
"org.wrongwrong.main.deser.A_1Props_Function.call","ss",1,5,46.785878,4.994600,"ms/op"
"org.wrongwrong.main.deser.A_1Props_Function.call_default","ss",1,5,51.833603,14.060094,"ms/op"
"org.wrongwrong.main.deser.E_5Props_Constructor.call","ss",1,5,52.176338,3.748274,"ms/op"
"org.wrongwrong.main.deser.E_5Props_Constructor.call_default","ss",1,5,59.554201,40.183349,"ms/op"
"org.wrongwrong.main.deser.E_5Props_Function.call","ss",1,5,49.227485,5.186812,"ms/op"
"org.wrongwrong.main.deser.E_5Props_Function.call_default","ss",1,5,53.174864,8.275999,"ms/op"
"org.wrongwrong.main.deser.T_20Props_Constructor.call","ss",1,5,56.791707,5.992674,"ms/op"
"org.wrongwrong.main.deser.T_20Props_Constructor.call_default","ss",1,5,59.125710,11.266358,"ms/op"
"org.wrongwrong.main.deser.T_20Props_Function.call","ss",1,5,61.394555,12.976001,"ms/op"
"org.wrongwrong.main.deser.T_20Props_Function.call_default","ss",1,5,64.819633,13.090736,"ms/op"
"org.wrongwrong.main.ser.A_1Props.call","ss",1,5,156.644611,22.738105,"ms/op"
"org.wrongwrong.main.ser.E_5Props.call","ss",1,5,163.187431,20.336319,"ms/op"
"org.wrongwrong.main.ser.T_20Props.call","ss",1,5,181.360609,17.781559,"ms/op"
