"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.wrongwrong.extra.deser.Collections.array","thrpt",1,4,584913.811151,42294.137698,"ops/s"
"org.wrongwrong.extra.deser.Collections.list","thrpt",1,4,593076.605730,53615.470521,"ops/s"
"org.wrongwrong.extra.deser.Collections.map","thrpt",1,4,427216.962406,100548.263970,"ops/s"
"org.wrongwrong.extra.deser.value_class.A_1P_Ctor.missing","thrpt",1,4,720076.860307,127800.161229,"ops/s"
"org.wrongwrong.extra.deser.value_class.A_1P_Ctor.present","thrpt",1,4,740535.333269,467823.835391,"ops/s"
"org.wrongwrong.extra.deser.value_class.A_1P_Func.missing","thrpt",1,4,703843.959893,97086.137867,"ops/s"
"org.wrongwrong.extra.deser.value_class.A_1P_Func.present","thrpt",1,4,657111.203625,353858.034939,"ops/s"
"org.wrongwrong.extra.deser.value_class.E_5P_Ctor.missing","thrpt",1,4,347306.349873,55645.895115,"ops/s"
"org.wrongwrong.extra.deser.value_class.E_5P_Ctor.present","thrpt",1,4,240904.804353,475637.171609,"ops/s"
"org.wrongwrong.extra.deser.value_class.E_5P_Func.missing","thrpt",1,4,315594.876672,215294.208108,"ops/s"
"org.wrongwrong.extra.deser.value_class.E_5P_Func.present","thrpt",1,4,270553.114882,184805.737482,"ops/s"
"org.wrongwrong.extra.deser.value_class.T_20P_Ctor.missing","thrpt",1,4,88426.172940,15380.188203,"ops/s"
"org.wrongwrong.extra.deser.value_class.T_20P_Ctor.present","thrpt",1,4,85328.589391,7848.931261,"ops/s"
"org.wrongwrong.extra.deser.value_class.T_20P_Func.missing","thrpt",1,4,93320.861639,33937.028542,"ops/s"
"org.wrongwrong.extra.deser.value_class.T_20P_Func.present","thrpt",1,4,82979.095796,9461.328439,"ops/s"
"org.wrongwrong.extra.deser.wrapper.A_1P_Ctor.missing","thrpt",1,4,684133.310185,96931.545828,"ops/s"
"org.wrongwrong.extra.deser.wrapper.A_1P_Ctor.present","thrpt",1,4,861574.906116,68605.223113,"ops/s"
"org.wrongwrong.extra.deser.wrapper.A_1P_Func.missing","thrpt",1,4,678863.510531,28513.586908,"ops/s"
"org.wrongwrong.extra.deser.wrapper.A_1P_Func.present","thrpt",1,4,855299.676499,189035.639086,"ops/s"
"org.wrongwrong.extra.deser.wrapper.E_5P_Ctor.missing","thrpt",1,4,344462.054508,29363.736520,"ops/s"
"org.wrongwrong.extra.deser.wrapper.E_5P_Ctor.present","thrpt",1,4,440717.952154,57916.550733,"ops/s"
"org.wrongwrong.extra.deser.wrapper.E_5P_Func.missing","thrpt",1,4,336818.398440,13289.792396,"ops/s"
"org.wrongwrong.extra.deser.wrapper.E_5P_Func.present","thrpt",1,4,443833.541571,25467.102861,"ops/s"
"org.wrongwrong.extra.deser.wrapper.T_20P_Ctor.missing","thrpt",1,4,94541.055189,17136.617726,"ops/s"
"org.wrongwrong.extra.deser.wrapper.T_20P_Ctor.present","thrpt",1,4,130444.130458,38179.095782,"ops/s"
"org.wrongwrong.extra.deser.wrapper.T_20P_Func.missing","thrpt",1,4,94973.121326,23746.257060,"ops/s"
"org.wrongwrong.extra.deser.wrapper.T_20P_Func.present","thrpt",1,4,130303.446448,54656.303298,"ops/s"
"org.wrongwrong.main.deser.A_1P_Ctor.missing","thrpt",1,4,694203.143539,75150.167850,"ops/s"
"org.wrongwrong.main.deser.A_1P_Ctor.present","thrpt",1,4,964445.051311,247386.776085,"ops/s"
"org.wrongwrong.main.deser.A_1P_Func.missing","thrpt",1,4,696890.775938,242956.985924,"ops/s"
"org.wrongwrong.main.deser.A_1P_Func.present","thrpt",1,4,977847.745584,114209.344024,"ops/s"
"org.wrongwrong.main.deser.E_5P_Ctor.missing","thrpt",1,4,325550.434657,61788.891080,"ops/s"
"org.wrongwrong.main.deser.E_5P_Ctor.present","thrpt",1,4,474986.865837,96770.343136,"ops/s"
"org.wrongwrong.main.deser.E_5P_Func.missing","thrpt",1,4,342362.149253,42693.162351,"ops/s"
"org.wrongwrong.main.deser.E_5P_Func.present","thrpt",1,4,473240.754892,97494.282760,"ops/s"
"org.wrongwrong.main.deser.T_20P_Ctor.missing","thrpt",1,4,93333.043897,11617.592593,"ops/s"
"org.wrongwrong.main.deser.T_20P_Ctor.present","thrpt",1,4,149611.688885,19565.791161,"ops/s"
"org.wrongwrong.main.deser.T_20P_Func.missing","thrpt",1,4,97937.441775,12394.183604,"ops/s"
"org.wrongwrong.main.deser.T_20P_Func.present","thrpt",1,4,154494.905240,19378.240515,"ops/s"
