"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.wrongwrong.main.deser.A_1P_Ctor.missing","ss",1,5,40.344676,2.716881,"ms/op"
"org.wrongwrong.main.deser.A_1P_Ctor.present","ss",1,5,38.546176,11.379629,"ms/op"
"org.wrongwrong.main.deser.A_1P_Func.missing","ss",1,5,42.663462,1.674661,"ms/op"
"org.wrongwrong.main.deser.A_1P_Func.present","ss",1,5,40.808617,5.187302,"ms/op"
"org.wrongwrong.main.deser.E_5P_Ctor.missing","ss",1,5,45.850789,37.651637,"ms/op"
"org.wrongwrong.main.deser.E_5P_Ctor.present","ss",1,5,43.964221,42.017771,"ms/op"
"org.wrongwrong.main.deser.E_5P_Func.missing","ss",1,5,49.128297,13.702396,"ms/op"
"org.wrongwrong.main.deser.E_5P_Func.present","ss",1,5,44.215465,6.514438,"ms/op"
"org.wrongwrong.main.deser.T_20P_Ctor.missing","ss",1,5,48.630390,5.362783,"ms/op"
"org.wrongwrong.main.deser.T_20P_Ctor.present","ss",1,5,43.754299,7.863953,"ms/op"
"org.wrongwrong.main.deser.T_20P_Func.missing","ss",1,5,53.643123,21.210626,"ms/op"
"org.wrongwrong.main.deser.T_20P_Func.present","ss",1,5,47.877120,1.815245,"ms/op"
