"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.wrongwrong.main.deser.A_1P_Ctor.missing","ss",1,5,41.912937,1.632236,"ms/op"
"org.wrongwrong.main.deser.A_1P_Ctor.present","ss",1,5,39.868570,5.281669,"ms/op"
"org.wrongwrong.main.deser.A_1P_Func.missing","ss",1,5,42.344288,2.248705,"ms/op"
"org.wrongwrong.main.deser.A_1P_Func.present","ss",1,5,40.905811,11.247755,"ms/op"
"org.wrongwrong.main.deser.E_5P_Ctor.missing","ss",1,5,45.876187,11.312802,"ms/op"
"org.wrongwrong.main.deser.E_5P_Ctor.present","ss",1,5,44.707288,21.585247,"ms/op"
"org.wrongwrong.main.deser.E_5P_Func.missing","ss",1,5,44.834287,3.018286,"ms/op"
"org.wrongwrong.main.deser.E_5P_Func.present","ss",1,5,40.832510,1.362696,"ms/op"
"org.wrongwrong.main.deser.T_20P_Ctor.missing","ss",1,5,51.662400,7.450593,"ms/op"
"org.wrongwrong.main.deser.T_20P_Ctor.present","ss",1,5,49.782380,12.088216,"ms/op"
"org.wrongwrong.main.deser.T_20P_Func.missing","ss",1,5,51.165568,6.965550,"ms/op"
"org.wrongwrong.main.deser.T_20P_Func.present","ss",1,5,46.950261,2.635321,"ms/op"
