"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.wrongwrong.main.deser.A_1P_Ctor.missing","thrpt",1,4,333749.650007,25463.997723,"ops/s"
"org.wrongwrong.main.deser.A_1P_Ctor.present","thrpt",1,4,564150.345542,20385.783286,"ops/s"
"org.wrongwrong.main.deser.A_1P_Func.missing","thrpt",1,4,300528.093900,14132.201805,"ops/s"
"org.wrongwrong.main.deser.A_1P_Func.present","thrpt",1,4,381749.056799,49888.955123,"ops/s"
"org.wrongwrong.main.deser.E_5P_Ctor.missing","thrpt",1,4,117311.253062,8277.603786,"ops/s"
"org.wrongwrong.main.deser.E_5P_Ctor.present","thrpt",1,4,208761.351406,30064.117423,"ops/s"
"org.wrongwrong.main.deser.E_5P_Func.missing","thrpt",1,4,113056.504448,8183.051485,"ops/s"
"org.wrongwrong.main.deser.E_5P_Func.present","thrpt",1,4,153271.298213,4348.661085,"ops/s"
"org.wrongwrong.main.deser.T_20P_Ctor.missing","thrpt",1,4,30465.507524,3432.213461,"ops/s"
"org.wrongwrong.main.deser.T_20P_Ctor.present","thrpt",1,4,56176.106887,6473.465609,"ops/s"
"org.wrongwrong.main.deser.T_20P_Func.missing","thrpt",1,4,29788.198563,1621.467418,"ops/s"
"org.wrongwrong.main.deser.T_20P_Func.present","thrpt",1,4,42740.334361,2209.719720,"ops/s"
