"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.wrongwrong.main.deser.A_1P_Ctor.missing","thrpt",1,4,716608.461689,113652.517018,"ops/s"
"org.wrongwrong.main.deser.A_1P_Ctor.present","thrpt",1,4,953637.751831,58522.343427,"ops/s"
"org.wrongwrong.main.deser.A_1P_Func.missing","thrpt",1,4,699846.993797,19073.956891,"ops/s"
"org.wrongwrong.main.deser.A_1P_Func.present","thrpt",1,4,946524.722307,32744.745664,"ops/s"
"org.wrongwrong.main.deser.E_5P_Ctor.missing","thrpt",1,4,351763.428271,34760.149167,"ops/s"
"org.wrongwrong.main.deser.E_5P_Ctor.present","thrpt",1,4,454067.988641,64531.757686,"ops/s"
"org.wrongwrong.main.deser.E_5P_Func.missing","thrpt",1,4,331875.389117,46532.605053,"ops/s"
"org.wrongwrong.main.deser.E_5P_Func.present","thrpt",1,4,463345.994609,58168.914782,"ops/s"
"org.wrongwrong.main.deser.T_20P_Ctor.missing","thrpt",1,4,87881.589766,3407.746747,"ops/s"
"org.wrongwrong.main.deser.T_20P_Ctor.present","thrpt",1,4,130723.587742,18013.967349,"ops/s"
"org.wrongwrong.main.deser.T_20P_Func.missing","thrpt",1,4,86122.940243,20519.137048,"ops/s"
"org.wrongwrong.main.deser.T_20P_Func.present","thrpt",1,4,130528.422964,19736.422840,"ops/s"
