"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.wrongwrong.extra.deser.Collections.array","ss",1,5,47.630272,35.483310,"ms/op"
"org.wrongwrong.extra.deser.Collections.list","ss",1,5,33.944579,2.383022,"ms/op"
"org.wrongwrong.extra.deser.Collections.map","ss",1,5,35.761593,2.395459,"ms/op"
"org.wrongwrong.extra.deser.wrapper.A_1P_Ctor.missing","ss",1,5,33.951458,2.641331,"ms/op"
"org.wrongwrong.extra.deser.wrapper.A_1P_Ctor.present","ss",1,5,31.395701,1.617155,"ms/op"
"org.wrongwrong.extra.deser.wrapper.A_1P_Func.missing","ss",1,5,36.928937,10.708216,"ms/op"
"org.wrongwrong.extra.deser.wrapper.A_1P_Func.present","ss",1,5,32.822104,1.350996,"ms/op"
"org.wrongwrong.extra.deser.wrapper.E_5P_Ctor.missing","ss",1,5,35.429101,7.439590,"ms/op"
"org.wrongwrong.extra.deser.wrapper.E_5P_Ctor.present","ss",1,5,32.290121,1.516616,"ms/op"
"org.wrongwrong.extra.deser.wrapper.E_5P_Func.missing","ss",1,5,39.683459,2.557455,"ms/op"
"org.wrongwrong.extra.deser.wrapper.E_5P_Func.present","ss",1,5,37.174577,2.722032,"ms/op"
"org.wrongwrong.extra.deser.wrapper.T_20P_Ctor.missing","ss",1,5,40.120880,7.993216,"ms/op"
"org.wrongwrong.extra.deser.wrapper.T_20P_Ctor.present","ss",1,5,36.658790,2.088464,"ms/op"
"org.wrongwrong.extra.deser.wrapper.T_20P_Func.missing","ss",1,5,45.648222,12.655076,"ms/op"
"org.wrongwrong.extra.deser.wrapper.T_20P_Func.present","ss",1,5,43.409444,10.755405,"ms/op"
"org.wrongwrong.extra.ser.value_class.A_1P.call","ss",1,5,89.716308,28.690959,"ms/op"
"org.wrongwrong.extra.ser.value_class.E_5P.call","ss",1,5,97.624802,42.379565,"ms/op"
"org.wrongwrong.extra.ser.value_class.T_20P.call","ss",1,5,105.949296,21.739603,"ms/op"
"org.wrongwrong.extra.ser.wrapper.A_1P.call","ss",1,5,126.361049,40.522550,"ms/op"
"org.wrongwrong.extra.ser.wrapper.E_5P.call","ss",1,5,135.460060,38.380002,"ms/op"
"org.wrongwrong.extra.ser.wrapper.T_20P.call","ss",1,5,142.134773,55.230336,"ms/op"
"org.wrongwrong.main.deser.A_1P_Ctor.missing","ss",1,5,34.651129,2.117852,"ms/op"
"org.wrongwrong.main.deser.A_1P_Ctor.present","ss",1,5,31.787718,2.372118,"ms/op"
"org.wrongwrong.main.deser.A_1P_Func.missing","ss",1,5,36.553467,2.124194,"ms/op"
"org.wrongwrong.main.deser.A_1P_Func.present","ss",1,5,34.294909,2.998272,"ms/op"
"org.wrongwrong.main.deser.E_5P_Ctor.missing","ss",1,5,36.362286,2.687287,"ms/op"
"org.wrongwrong.main.deser.E_5P_Ctor.present","ss",1,5,33.479413,1.698767,"ms/op"
"org.wrongwrong.main.deser.E_5P_Func.missing","ss",1,5,41.290398,8.162445,"ms/op"
"org.wrongwrong.main.deser.E_5P_Func.present","ss",1,5,39.837156,5.630503,"ms/op"
"org.wrongwrong.main.deser.T_20P_Ctor.missing","ss",1,5,39.761475,2.790130,"ms/op"
"org.wrongwrong.main.deser.T_20P_Ctor.present","ss",1,5,36.433420,1.384973,"ms/op"
"org.wrongwrong.main.deser.T_20P_Func.missing","ss",1,5,45.191097,4.443539,"ms/op"
"org.wrongwrong.main.deser.T_20P_Func.present","ss",1,5,43.231860,3.104264,"ms/op"
"org.wrongwrong.main.ser.A_1P.call","ss",1,5,105.327895,27.144082,"ms/op"
"org.wrongwrong.main.ser.E_5P.call","ss",1,5,103.347571,22.942417,"ms/op"
"org.wrongwrong.main.ser.T_20P.call","ss",1,5,119.948105,6.056647,"ms/op"
