"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.wrongwrong.extra.deser.Collections.array","thrpt",1,4,467728.685958,37800.351519,"ops/s"
"org.wrongwrong.extra.deser.Collections.list","thrpt",1,4,472104.121066,10266.605950,"ops/s"
"org.wrongwrong.extra.deser.Collections.map","thrpt",1,4,369670.419046,9279.962935,"ops/s"
"org.wrongwrong.extra.deser.wrapper.A_1P_Ctor.missing","thrpt",1,4,403864.191423,10838.037831,"ops/s"
"org.wrongwrong.extra.deser.wrapper.A_1P_Ctor.present","thrpt",1,4,677670.400919,23646.193087,"ops/s"
"org.wrongwrong.extra.deser.wrapper.A_1P_Func.missing","thrpt",1,4,359755.373502,26497.550499,"ops/s"
"org.wrongwrong.extra.deser.wrapper.A_1P_Func.present","thrpt",1,4,455325.879714,25376.391274,"ops/s"
"org.wrongwrong.extra.deser.wrapper.E_5P_Ctor.missing","thrpt",1,4,140659.264708,5074.411543,"ops/s"
"org.wrongwrong.extra.deser.wrapper.E_5P_Ctor.present","thrpt",1,4,242650.160193,5112.289776,"ops/s"
"org.wrongwrong.extra.deser.wrapper.E_5P_Func.missing","thrpt",1,4,135064.007885,4872.716483,"ops/s"
"org.wrongwrong.extra.deser.wrapper.E_5P_Func.present","thrpt",1,4,178984.335766,7487.463784,"ops/s"
"org.wrongwrong.extra.deser.wrapper.T_20P_Ctor.missing","thrpt",1,4,37753.564710,442.618990,"ops/s"
"org.wrongwrong.extra.deser.wrapper.T_20P_Ctor.present","thrpt",1,4,63956.613701,10623.589709,"ops/s"
"org.wrongwrong.extra.deser.wrapper.T_20P_Func.missing","thrpt",1,4,36518.745841,5206.095683,"ops/s"
"org.wrongwrong.extra.deser.wrapper.T_20P_Func.present","thrpt",1,4,50082.678471,2517.935409,"ops/s"
"org.wrongwrong.extra.ser.value_class.A_1P.call","thrpt",1,4,928471.412529,91942.892859,"ops/s"
"org.wrongwrong.extra.ser.value_class.E_5P.call","thrpt",1,4,251574.976534,12478.282254,"ops/s"
"org.wrongwrong.extra.ser.value_class.T_20P.call","thrpt",1,4,65937.917845,8223.633699,"ops/s"
"org.wrongwrong.extra.ser.wrapper.A_1P.call","thrpt",1,4,1937714.061662,107503.313799,"ops/s"
"org.wrongwrong.extra.ser.wrapper.E_5P.call","thrpt",1,4,1105192.521819,158753.652325,"ops/s"
"org.wrongwrong.extra.ser.wrapper.T_20P.call","thrpt",1,4,387389.501292,189388.399843,"ops/s"
"org.wrongwrong.main.deser.A_1P_Ctor.missing","thrpt",1,4,400565.656348,19077.516775,"ops/s"
"org.wrongwrong.main.deser.A_1P_Ctor.present","thrpt",1,4,689096.601474,16542.961087,"ops/s"
"org.wrongwrong.main.deser.A_1P_Func.missing","thrpt",1,4,356978.932910,13095.598060,"ops/s"
"org.wrongwrong.main.deser.A_1P_Func.present","thrpt",1,4,451643.777101,55995.442069,"ops/s"
"org.wrongwrong.main.deser.E_5P_Ctor.missing","thrpt",1,4,138240.808379,5192.626452,"ops/s"
"org.wrongwrong.main.deser.E_5P_Ctor.present","thrpt",1,4,244772.586635,16528.975260,"ops/s"
"org.wrongwrong.main.deser.E_5P_Func.missing","thrpt",1,4,132025.773738,6033.203702,"ops/s"
"org.wrongwrong.main.deser.E_5P_Func.present","thrpt",1,4,182876.193528,13238.493956,"ops/s"
"org.wrongwrong.main.deser.T_20P_Ctor.missing","thrpt",1,4,36675.338452,637.459052,"ops/s"
"org.wrongwrong.main.deser.T_20P_Ctor.present","thrpt",1,4,65375.431087,987.303509,"ops/s"
"org.wrongwrong.main.deser.T_20P_Func.missing","thrpt",1,4,35490.180685,3340.647555,"ops/s"
"org.wrongwrong.main.deser.T_20P_Func.present","thrpt",1,4,51641.058567,4632.225729,"ops/s"
"org.wrongwrong.main.ser.A_1P.call","thrpt",1,4,2001594.795756,76271.929805,"ops/s"
"org.wrongwrong.main.ser.E_5P.call","thrpt",1,4,1134311.899504,26920.507527,"ops/s"
"org.wrongwrong.main.ser.T_20P.call","thrpt",1,4,434748.820053,28512.434072,"ops/s"
