"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.wrongwrong.extra.deser.Collections.array","ss",1,5,65.309296,19.382971,"ms/op"
"org.wrongwrong.extra.deser.Collections.list","ss",1,5,48.020535,15.514977,"ms/op"
"org.wrongwrong.extra.deser.Collections.map","ss",1,5,51.502999,7.341115,"ms/op"
"org.wrongwrong.extra.deser.wrapper.A_1Props_Constructor.call","ss",1,5,42.311306,7.793040,"ms/op"
"org.wrongwrong.extra.deser.wrapper.A_1Props_Constructor.call_default","ss",1,5,44.747754,4.334107,"ms/op"
"org.wrongwrong.extra.deser.wrapper.A_1Props_Function.call","ss",1,5,48.420082,12.932673,"ms/op"
"org.wrongwrong.extra.deser.wrapper.A_1Props_Function.call_default","ss",1,5,50.536222,11.207313,"ms/op"
"org.wrongwrong.extra.deser.wrapper.E_5Props_Constructor.call","ss",1,5,46.008569,27.746736,"ms/op"
"org.wrongwrong.extra.deser.wrapper.E_5Props_Constructor.call_default","ss",1,5,50.270435,13.509521,"ms/op"
"org.wrongwrong.extra.deser.wrapper.E_5Props_Function.call","ss",1,5,51.629247,12.997498,"ms/op"
"org.wrongwrong.extra.deser.wrapper.E_5Props_Function.call_default","ss",1,5,54.749858,10.836048,"ms/op"
"org.wrongwrong.extra.deser.wrapper.T_20Props_Constructor.call","ss",1,5,54.453090,23.521195,"ms/op"
"org.wrongwrong.extra.deser.wrapper.T_20Props_Constructor.call_default","ss",1,5,62.621122,36.186024,"ms/op"
"org.wrongwrong.extra.deser.wrapper.T_20Props_Function.call","ss",1,5,61.111732,23.574910,"ms/op"
"org.wrongwrong.extra.deser.wrapper.T_20Props_Function.call_default","ss",1,5,64.411231,8.251936,"ms/op"
"org.wrongwrong.extra.ser.value_class.A_1Props.call","ss",1,5,127.858022,14.243562,"ms/op"
"org.wrongwrong.extra.ser.value_class.E_5Props.call","ss",1,5,134.731086,52.836840,"ms/op"
"org.wrongwrong.extra.ser.value_class.T_20Props.call","ss",1,5,159.602686,33.984550,"ms/op"
"org.wrongwrong.extra.ser.wrapper.A_1Props.call","ss",1,5,175.235444,31.167100,"ms/op"
"org.wrongwrong.extra.ser.wrapper.E_5Props.call","ss",1,5,179.191685,40.200595,"ms/op"
"org.wrongwrong.extra.ser.wrapper.T_20Props.call","ss",1,5,209.216493,60.748661,"ms/op"
"org.wrongwrong.main.deser.A_1Props_Constructor.call","ss",1,5,43.693730,8.684051,"ms/op"
"org.wrongwrong.main.deser.A_1Props_Constructor.call_default","ss",1,5,50.698892,23.074903,"ms/op"
"org.wrongwrong.main.deser.A_1Props_Function.call","ss",1,5,47.459084,5.952691,"ms/op"
"org.wrongwrong.main.deser.A_1Props_Function.call_default","ss",1,5,54.511584,11.661492,"ms/op"
"org.wrongwrong.main.deser.E_5Props_Constructor.call","ss",1,5,43.984147,8.460817,"ms/op"
"org.wrongwrong.main.deser.E_5Props_Constructor.call_default","ss",1,5,49.721135,17.004719,"ms/op"
"org.wrongwrong.main.deser.E_5Props_Function.call","ss",1,5,54.397564,22.556627,"ms/op"
"org.wrongwrong.main.deser.E_5Props_Function.call_default","ss",1,5,56.188424,11.461300,"ms/op"
"org.wrongwrong.main.deser.T_20Props_Constructor.call","ss",1,5,50.104119,8.532696,"ms/op"
"org.wrongwrong.main.deser.T_20Props_Constructor.call_default","ss",1,5,58.306400,31.977978,"ms/op"
"org.wrongwrong.main.deser.T_20Props_Function.call","ss",1,5,59.881655,13.206414,"ms/op"
"org.wrongwrong.main.deser.T_20Props_Function.call_default","ss",1,5,65.671201,13.844470,"ms/op"
"org.wrongwrong.main.ser.A_1Props.call","ss",1,5,135.105447,27.937489,"ms/op"
"org.wrongwrong.main.ser.E_5Props.call","ss",1,5,141.292520,21.073123,"ms/op"
"org.wrongwrong.main.ser.T_20Props.call","ss",1,5,159.741493,19.626497,"ms/op"
