"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.wrongwrong.extra.deser.Collections.array","thrpt",1,4,391904.741436,42141.420926,"ops/s"
"org.wrongwrong.extra.deser.Collections.list","thrpt",1,4,399713.448448,94512.817618,"ops/s"
"org.wrongwrong.extra.deser.Collections.map","thrpt",1,4,289671.650600,2993.202001,"ops/s"
"org.wrongwrong.extra.deser.wrapper.A_1P_Ctor.missing","thrpt",1,4,362871.650921,86890.022298,"ops/s"
"org.wrongwrong.extra.deser.wrapper.A_1P_Ctor.present","thrpt",1,4,645499.920832,62063.115199,"ops/s"
"org.wrongwrong.extra.deser.wrapper.A_1P_Func.missing","thrpt",1,4,327399.334432,11025.952352,"ops/s"
"org.wrongwrong.extra.deser.wrapper.A_1P_Func.present","thrpt",1,4,424558.640339,25623.950718,"ops/s"
"org.wrongwrong.extra.deser.wrapper.E_5P_Ctor.missing","thrpt",1,4,133447.264865,2950.591346,"ops/s"
"org.wrongwrong.extra.deser.wrapper.E_5P_Ctor.present","thrpt",1,4,236398.096734,14253.591367,"ops/s"
"org.wrongwrong.extra.deser.wrapper.E_5P_Func.missing","thrpt",1,4,125617.925929,5146.840080,"ops/s"
"org.wrongwrong.extra.deser.wrapper.E_5P_Func.present","thrpt",1,4,168315.749027,23564.073979,"ops/s"
"org.wrongwrong.extra.deser.wrapper.T_20P_Ctor.missing","thrpt",1,4,37936.619164,549.585572,"ops/s"
"org.wrongwrong.extra.deser.wrapper.T_20P_Ctor.present","thrpt",1,4,64284.797648,5489.204995,"ops/s"
"org.wrongwrong.extra.deser.wrapper.T_20P_Func.missing","thrpt",1,4,37195.180699,1906.854772,"ops/s"
"org.wrongwrong.extra.deser.wrapper.T_20P_Func.present","thrpt",1,4,50002.714240,2307.544912,"ops/s"
"org.wrongwrong.extra.ser.value_class.A_1P.call","thrpt",1,4,892990.165592,198867.489745,"ops/s"
"org.wrongwrong.extra.ser.value_class.E_5P.call","thrpt",1,4,253537.581369,3463.379058,"ops/s"
"org.wrongwrong.extra.ser.value_class.T_20P.call","thrpt",1,4,67374.808928,2611.219868,"ops/s"
"org.wrongwrong.extra.ser.wrapper.A_1P.call","thrpt",1,4,1930198.284312,261552.915271,"ops/s"
"org.wrongwrong.extra.ser.wrapper.E_5P.call","thrpt",1,4,1175733.969222,19036.444081,"ops/s"
"org.wrongwrong.extra.ser.wrapper.T_20P.call","thrpt",1,4,440217.074947,31477.165627,"ops/s"
"org.wrongwrong.main.deser.A_1P_Ctor.missing","thrpt",1,4,367971.655675,7309.371831,"ops/s"
"org.wrongwrong.main.deser.A_1P_Ctor.present","thrpt",1,4,659014.138201,39265.093055,"ops/s"
"org.wrongwrong.main.deser.A_1P_Func.missing","thrpt",1,4,318373.137987,38559.411397,"ops/s"
"org.wrongwrong.main.deser.A_1P_Func.present","thrpt",1,4,423756.382578,19891.678996,"ops/s"
"org.wrongwrong.main.deser.E_5P_Ctor.missing","thrpt",1,4,127987.617031,6825.611360,"ops/s"
"org.wrongwrong.main.deser.E_5P_Ctor.present","thrpt",1,4,235514.867910,49172.804896,"ops/s"
"org.wrongwrong.main.deser.E_5P_Func.missing","thrpt",1,4,123332.927883,1893.047466,"ops/s"
"org.wrongwrong.main.deser.E_5P_Func.present","thrpt",1,4,169097.107998,14207.666768,"ops/s"
"org.wrongwrong.main.deser.T_20P_Ctor.missing","thrpt",1,4,37188.229315,950.968540,"ops/s"
"org.wrongwrong.main.deser.T_20P_Ctor.present","thrpt",1,4,68638.978893,21122.033173,"ops/s"
"org.wrongwrong.main.deser.T_20P_Func.missing","thrpt",1,4,37205.073633,1123.665638,"ops/s"
"org.wrongwrong.main.deser.T_20P_Func.present","thrpt",1,4,50782.600610,7448.545635,"ops/s"
"org.wrongwrong.main.ser.A_1P.call","thrpt",1,4,2181354.456237,709331.193254,"ops/s"
"org.wrongwrong.main.ser.E_5P.call","thrpt",1,4,1243775.473230,95613.583132,"ops/s"
"org.wrongwrong.main.ser.T_20P.call","thrpt",1,4,471264.165490,62444.190293,"ops/s"
