"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.wrongwrong.main.deser.A_1P_Ctor.missing","ss",1,5,33.491944,1.579710,"ms/op"
"org.wrongwrong.main.deser.A_1P_Ctor.present","ss",1,5,30.555493,1.736706,"ms/op"
"org.wrongwrong.main.deser.A_1P_Func.missing","ss",1,5,35.289161,1.407424,"ms/op"
"org.wrongwrong.main.deser.A_1P_Func.present","ss",1,5,32.855800,0.952278,"ms/op"
"org.wrongwrong.main.deser.E_5P_Ctor.missing","ss",1,5,34.821812,4.645409,"ms/op"
"org.wrongwrong.main.deser.E_5P_Ctor.present","ss",1,5,31.858551,1.735850,"ms/op"
"org.wrongwrong.main.deser.E_5P_Func.missing","ss",1,5,38.581999,2.043896,"ms/op"
"org.wrongwrong.main.deser.E_5P_Func.present","ss",1,5,36.292202,4.502224,"ms/op"
"org.wrongwrong.main.deser.T_20P_Ctor.missing","ss",1,5,37.801346,1.393916,"ms/op"
"org.wrongwrong.main.deser.T_20P_Ctor.present","ss",1,5,35.419439,1.223963,"ms/op"
"org.wrongwrong.main.deser.T_20P_Func.missing","ss",1,5,42.503055,1.187591,"ms/op"
"org.wrongwrong.main.deser.T_20P_Func.present","ss",1,5,41.466673,8.496231,"ms/op"
