"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.wrongwrong.main.deser.A_1P_Ctor.missing","ss",1,5,35.157349,1.137468,"ms/op"
"org.wrongwrong.main.deser.A_1P_Ctor.present","ss",1,5,32.865258,2.966091,"ms/op"
"org.wrongwrong.main.deser.A_1P_Func.missing","ss",1,5,35.600679,2.152090,"ms/op"
"org.wrongwrong.main.deser.A_1P_Func.present","ss",1,5,32.505708,0.818075,"ms/op"
"org.wrongwrong.main.deser.E_5P_Ctor.missing","ss",1,5,37.912210,3.981211,"ms/op"
"org.wrongwrong.main.deser.E_5P_Ctor.present","ss",1,5,36.306565,3.807660,"ms/op"
"org.wrongwrong.main.deser.E_5P_Func.missing","ss",1,5,37.490667,2.872363,"ms/op"
"org.wrongwrong.main.deser.E_5P_Func.present","ss",1,5,35.173432,1.592231,"ms/op"
"org.wrongwrong.main.deser.T_20P_Ctor.missing","ss",1,5,45.339893,10.781540,"ms/op"
"org.wrongwrong.main.deser.T_20P_Ctor.present","ss",1,5,39.845025,3.412915,"ms/op"
"org.wrongwrong.main.deser.T_20P_Func.missing","ss",1,5,44.216228,5.017351,"ms/op"
"org.wrongwrong.main.deser.T_20P_Func.present","ss",1,5,40.686093,5.412510,"ms/op"
