"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.wrongwrong.main.deser.A_1P_Ctor.missing","thrpt",1,4,328756.923070,32707.843400,"ops/s"
"org.wrongwrong.main.deser.A_1P_Ctor.present","thrpt",1,4,551166.242748,91286.376644,"ops/s"
"org.wrongwrong.main.deser.A_1P_Func.missing","thrpt",1,4,326067.259304,164584.050535,"ops/s"
"org.wrongwrong.main.deser.A_1P_Func.present","thrpt",1,4,396939.536718,32387.645353,"ops/s"
"org.wrongwrong.main.deser.E_5P_Ctor.missing","thrpt",1,4,122997.297888,10077.159059,"ops/s"
"org.wrongwrong.main.deser.E_5P_Ctor.present","thrpt",1,4,228478.161613,48177.714578,"ops/s"
"org.wrongwrong.main.deser.E_5P_Func.missing","thrpt",1,4,115370.286780,2818.374003,"ops/s"
"org.wrongwrong.main.deser.E_5P_Func.present","thrpt",1,4,162494.614362,26709.558815,"ops/s"
"org.wrongwrong.main.deser.T_20P_Ctor.missing","thrpt",1,4,32449.201918,1406.052797,"ops/s"
"org.wrongwrong.main.deser.T_20P_Ctor.present","thrpt",1,4,61712.417445,3838.891640,"ops/s"
"org.wrongwrong.main.deser.T_20P_Func.missing","thrpt",1,4,32288.470816,455.342935,"ops/s"
"org.wrongwrong.main.deser.T_20P_Func.present","thrpt",1,4,46253.546260,1589.503580,"ops/s"
