"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.wrongwrong.main.deser.A_1P_Ctor.missing","thrpt",1,4,676655.562665,446904.477834,"ops/s"
"org.wrongwrong.main.deser.A_1P_Ctor.present","thrpt",1,4,883897.060183,320374.135937,"ops/s"
"org.wrongwrong.main.deser.A_1P_Func.missing","thrpt",1,4,709822.766127,14896.982632,"ops/s"
"org.wrongwrong.main.deser.A_1P_Func.present","thrpt",1,4,943891.709966,5448.471205,"ops/s"
"org.wrongwrong.main.deser.E_5P_Ctor.missing","thrpt",1,4,355404.841125,37177.781440,"ops/s"
"org.wrongwrong.main.deser.E_5P_Ctor.present","thrpt",1,4,470122.344259,137673.378004,"ops/s"
"org.wrongwrong.main.deser.E_5P_Func.missing","thrpt",1,4,357044.950283,37089.669368,"ops/s"
"org.wrongwrong.main.deser.E_5P_Func.present","thrpt",1,4,454640.456050,19981.641679,"ops/s"
"org.wrongwrong.main.deser.T_20P_Ctor.missing","thrpt",1,4,106438.227012,11086.306162,"ops/s"
"org.wrongwrong.main.deser.T_20P_Ctor.present","thrpt",1,4,160490.282619,20830.092086,"ops/s"
"org.wrongwrong.main.deser.T_20P_Func.missing","thrpt",1,4,94039.420905,6681.087184,"ops/s"
"org.wrongwrong.main.deser.T_20P_Func.present","thrpt",1,4,157842.025147,18209.689937,"ops/s"
