"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.wrongwrong.main.deser.A_1P_Ctor.missing","ss",1,5,39.282187,2.996736,"ms/op"
"org.wrongwrong.main.deser.A_1P_Ctor.present","ss",1,5,37.095685,7.476200,"ms/op"
"org.wrongwrong.main.deser.A_1P_Func.missing","ss",1,5,38.902242,2.196157,"ms/op"
"org.wrongwrong.main.deser.A_1P_Func.present","ss",1,5,36.610873,4.797082,"ms/op"
"org.wrongwrong.main.deser.E_5P_Ctor.missing","ss",1,5,42.663814,7.256503,"ms/op"
"org.wrongwrong.main.deser.E_5P_Ctor.present","ss",1,5,41.416483,9.339842,"ms/op"
"org.wrongwrong.main.deser.E_5P_Func.missing","ss",1,5,41.492700,4.377455,"ms/op"
"org.wrongwrong.main.deser.E_5P_Func.present","ss",1,5,38.782483,4.895803,"ms/op"
"org.wrongwrong.main.deser.T_20P_Ctor.missing","ss",1,5,47.560426,15.846288,"ms/op"
"org.wrongwrong.main.deser.T_20P_Ctor.present","ss",1,5,47.647139,15.681967,"ms/op"
"org.wrongwrong.main.deser.T_20P_Func.missing","ss",1,5,48.120119,4.867543,"ms/op"
"org.wrongwrong.main.deser.T_20P_Func.present","ss",1,5,42.712997,6.136055,"ms/op"
