"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.wrongwrong.extra.deser.Collections.array","ss",1,5,38.918778,1.044750,"ms/op"
"org.wrongwrong.extra.deser.Collections.list","ss",1,5,39.244485,6.414342,"ms/op"
"org.wrongwrong.extra.deser.Collections.map","ss",1,5,40.218274,1.984963,"ms/op"
"org.wrongwrong.main.deser.A_1P_Ctor.missing","ss",1,5,36.479037,10.439520,"ms/op"
"org.wrongwrong.main.deser.A_1P_Ctor.present","ss",1,5,33.298163,5.912628,"ms/op"
"org.wrongwrong.main.deser.A_1P_Func.missing","ss",1,5,36.203211,3.341351,"ms/op"
"org.wrongwrong.main.deser.A_1P_Func.present","ss",1,5,33.207177,1.178890,"ms/op"
"org.wrongwrong.main.deser.E_5P_Ctor.missing","ss",1,5,37.689184,3.638039,"ms/op"
"org.wrongwrong.main.deser.E_5P_Ctor.present","ss",1,5,35.346456,4.663347,"ms/op"
"org.wrongwrong.main.deser.E_5P_Func.missing","ss",1,5,37.439226,1.123589,"ms/op"
"org.wrongwrong.main.deser.E_5P_Func.present","ss",1,5,35.295631,5.311968,"ms/op"
"org.wrongwrong.main.deser.T_20P_Ctor.missing","ss",1,5,44.176025,12.946642,"ms/op"
"org.wrongwrong.main.deser.T_20P_Ctor.present","ss",1,5,39.949342,2.924509,"ms/op"
"org.wrongwrong.main.deser.T_20P_Func.missing","ss",1,5,42.799709,3.527989,"ms/op"
"org.wrongwrong.main.deser.T_20P_Func.present","ss",1,5,39.528805,1.867270,"ms/op"
