"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.wrongwrong.extra.deser.Collections.array","thrpt",1,9,646842.764186,21338.775776,"ops/s"
"org.wrongwrong.extra.deser.Collections.list","thrpt",1,9,658857.175258,11518.922730,"ops/s"
"org.wrongwrong.extra.deser.Collections.map","thrpt",1,9,467684.615733,29154.399056,"ops/s"
"org.wrongwrong.main.deser.A_1P_Ctor.missing","thrpt",1,9,839518.375701,40240.411067,"ops/s"
"org.wrongwrong.main.deser.A_1P_Ctor.present","thrpt",1,9,1110903.663101,36709.882434,"ops/s"
"org.wrongwrong.main.deser.A_1P_Func.missing","thrpt",1,9,795708.512113,53128.093531,"ops/s"
"org.wrongwrong.main.deser.A_1P_Func.present","thrpt",1,9,1098115.173183,50905.057648,"ops/s"
"org.wrongwrong.main.deser.E_5P_Ctor.missing","thrpt",1,9,388600.485352,18397.853667,"ops/s"
"org.wrongwrong.main.deser.E_5P_Ctor.present","thrpt",1,9,528207.468176,13084.941505,"ops/s"
"org.wrongwrong.main.deser.E_5P_Func.missing","thrpt",1,9,391477.464255,3369.396964,"ops/s"
"org.wrongwrong.main.deser.E_5P_Func.present","thrpt",1,9,531009.682370,22302.336355,"ops/s"
"org.wrongwrong.main.deser.T_20P_Ctor.missing","thrpt",1,9,103387.954592,4339.244024,"ops/s"
"org.wrongwrong.main.deser.T_20P_Ctor.present","thrpt",1,9,164199.766980,3981.972456,"ops/s"
"org.wrongwrong.main.deser.T_20P_Func.missing","thrpt",1,9,102578.294994,3137.416214,"ops/s"
"org.wrongwrong.main.deser.T_20P_Func.present","thrpt",1,9,159085.792980,5666.125877,"ops/s"
