"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.wrongwrong.main.deser.A_1P_Ctor.missing","thrpt",1,4,864426.131656,87578.674467,"ops/s"
"org.wrongwrong.main.deser.A_1P_Ctor.present","thrpt",1,4,1123125.996106,186027.363342,"ops/s"
"org.wrongwrong.main.deser.A_1P_Func.missing","thrpt",1,4,825298.607535,278202.266183,"ops/s"
"org.wrongwrong.main.deser.A_1P_Func.present","thrpt",1,4,1119839.637479,37882.220675,"ops/s"
"org.wrongwrong.main.deser.E_5P_Ctor.missing","thrpt",1,4,394752.518662,35425.736724,"ops/s"
"org.wrongwrong.main.deser.E_5P_Ctor.present","thrpt",1,4,525809.615340,110283.716962,"ops/s"
"org.wrongwrong.main.deser.E_5P_Func.missing","thrpt",1,4,392714.502542,23911.988191,"ops/s"
"org.wrongwrong.main.deser.E_5P_Func.present","thrpt",1,4,508433.772879,15221.851761,"ops/s"
"org.wrongwrong.main.deser.T_20P_Ctor.missing","thrpt",1,4,103728.690861,6226.015190,"ops/s"
"org.wrongwrong.main.deser.T_20P_Ctor.present","thrpt",1,4,156864.139067,11711.194862,"ops/s"
"org.wrongwrong.main.deser.T_20P_Func.missing","thrpt",1,4,103063.002358,8959.809925,"ops/s"
"org.wrongwrong.main.deser.T_20P_Func.present","thrpt",1,4,160841.859003,34945.718426,"ops/s"
