"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.wrongwrong.extra.deser.Collections.array","ss",1,5,49.059026,19.682860,"ms/op"
"org.wrongwrong.extra.deser.Collections.list","ss",1,5,38.489978,2.627944,"ms/op"
"org.wrongwrong.extra.deser.Collections.map","ss",1,5,39.830399,3.506550,"ms/op"
"org.wrongwrong.main.deser.A_1P_Ctor.missing","ss",1,5,38.641891,2.400567,"ms/op"
"org.wrongwrong.main.deser.A_1P_Ctor.present","ss",1,5,36.312943,4.304036,"ms/op"
"org.wrongwrong.main.deser.A_1P_Func.missing","ss",1,5,43.605288,19.041501,"ms/op"
"org.wrongwrong.main.deser.A_1P_Func.present","ss",1,5,40.894896,16.577653,"ms/op"
"org.wrongwrong.main.deser.E_5P_Ctor.missing","ss",1,5,39.917848,2.114343,"ms/op"
"org.wrongwrong.main.deser.E_5P_Ctor.present","ss",1,5,36.917942,2.300634,"ms/op"
"org.wrongwrong.main.deser.E_5P_Func.missing","ss",1,5,46.304345,11.902481,"ms/op"
"org.wrongwrong.main.deser.E_5P_Func.present","ss",1,5,42.584905,10.423763,"ms/op"
"org.wrongwrong.main.deser.T_20P_Ctor.missing","ss",1,5,44.831705,2.922063,"ms/op"
"org.wrongwrong.main.deser.T_20P_Ctor.present","ss",1,5,40.733277,3.711791,"ms/op"
"org.wrongwrong.main.deser.T_20P_Func.missing","ss",1,5,50.004269,3.982405,"ms/op"
"org.wrongwrong.main.deser.T_20P_Func.present","ss",1,5,47.231107,4.795536,"ms/op"
