"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.wrongwrong.extra.deser.Collections.array","ss",1,5,55.400404,27.168504,"ms/op"
"org.wrongwrong.extra.deser.Collections.list","ss",1,5,40.274016,8.331399,"ms/op"
"org.wrongwrong.extra.deser.Collections.map","ss",1,5,42.477385,7.222553,"ms/op"
"org.wrongwrong.main.deser.A_1P_Ctor.missing","ss",1,5,39.017043,2.358037,"ms/op"
"org.wrongwrong.main.deser.A_1P_Ctor.present","ss",1,5,37.475399,7.104707,"ms/op"
"org.wrongwrong.main.deser.A_1P_Func.missing","ss",1,5,42.168057,10.451347,"ms/op"
"org.wrongwrong.main.deser.A_1P_Func.present","ss",1,5,38.836641,12.181128,"ms/op"
"org.wrongwrong.main.deser.E_5P_Ctor.missing","ss",1,5,39.510831,3.091492,"ms/op"
"org.wrongwrong.main.deser.E_5P_Ctor.present","ss",1,5,37.741787,13.053455,"ms/op"
"org.wrongwrong.main.deser.E_5P_Func.missing","ss",1,5,46.892465,7.281309,"ms/op"
"org.wrongwrong.main.deser.E_5P_Func.present","ss",1,5,43.320707,12.833055,"ms/op"
"org.wrongwrong.main.deser.T_20P_Ctor.missing","ss",1,5,45.184188,9.913495,"ms/op"
"org.wrongwrong.main.deser.T_20P_Ctor.present","ss",1,5,40.438241,2.059370,"ms/op"
"org.wrongwrong.main.deser.T_20P_Func.missing","ss",1,5,49.158296,4.321641,"ms/op"
"org.wrongwrong.main.deser.T_20P_Func.present","ss",1,5,51.082432,22.577664,"ms/op"
