"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.wrongwrong.extra.deser.Collections.array","thrpt",1,4,373381.186457,27561.019119,"ops/s"
"org.wrongwrong.extra.deser.Collections.list","thrpt",1,4,371137.325551,32700.878875,"ops/s"
"org.wrongwrong.extra.deser.Collections.map","thrpt",1,4,302914.544833,17920.815978,"ops/s"
"org.wrongwrong.main.deser.A_1P_Ctor.missing","thrpt",1,4,309852.820533,25872.321910,"ops/s"
"org.wrongwrong.main.deser.A_1P_Ctor.present","thrpt",1,4,515249.838683,117170.088471,"ops/s"
"org.wrongwrong.main.deser.A_1P_Func.missing","thrpt",1,4,278212.855634,10265.282474,"ops/s"
"org.wrongwrong.main.deser.A_1P_Func.present","thrpt",1,4,362430.744908,23538.248763,"ops/s"
"org.wrongwrong.main.deser.E_5P_Ctor.missing","thrpt",1,4,109325.464257,21251.257465,"ops/s"
"org.wrongwrong.main.deser.E_5P_Ctor.present","thrpt",1,4,195973.376878,35252.852784,"ops/s"
"org.wrongwrong.main.deser.E_5P_Func.missing","thrpt",1,4,104338.397175,3227.605434,"ops/s"
"org.wrongwrong.main.deser.E_5P_Func.present","thrpt",1,4,143544.001181,14169.523896,"ops/s"
"org.wrongwrong.main.deser.T_20P_Ctor.missing","thrpt",1,4,29688.694972,4492.940974,"ops/s"
"org.wrongwrong.main.deser.T_20P_Ctor.present","thrpt",1,4,57927.076983,9978.439934,"ops/s"
"org.wrongwrong.main.deser.T_20P_Func.missing","thrpt",1,4,29505.730037,1635.597223,"ops/s"
"org.wrongwrong.main.deser.T_20P_Func.present","thrpt",1,4,41816.946329,4964.138638,"ops/s"
