"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.wrongwrong.extra.deser.Collections.array","thrpt",1,4,403182.159140,26776.408832,"ops/s"
"org.wrongwrong.extra.deser.Collections.list","thrpt",1,4,381646.366541,12292.620942,"ops/s"
"org.wrongwrong.extra.deser.Collections.map","thrpt",1,4,296091.572019,30952.293549,"ops/s"
"org.wrongwrong.main.deser.A_1P_Ctor.missing","thrpt",1,4,365658.311302,8064.906086,"ops/s"
"org.wrongwrong.main.deser.A_1P_Ctor.present","thrpt",1,4,643237.560124,54271.204225,"ops/s"
"org.wrongwrong.main.deser.A_1P_Func.missing","thrpt",1,4,326774.160557,7226.170399,"ops/s"
"org.wrongwrong.main.deser.A_1P_Func.present","thrpt",1,4,423168.170014,8925.138482,"ops/s"
"org.wrongwrong.main.deser.E_5P_Ctor.missing","thrpt",1,4,130023.622628,10255.582299,"ops/s"
"org.wrongwrong.main.deser.E_5P_Ctor.present","thrpt",1,4,238174.791078,2448.421673,"ops/s"
"org.wrongwrong.main.deser.E_5P_Func.missing","thrpt",1,4,124913.755226,7485.879931,"ops/s"
"org.wrongwrong.main.deser.E_5P_Func.present","thrpt",1,4,169335.016063,44343.852691,"ops/s"
"org.wrongwrong.main.deser.T_20P_Ctor.missing","thrpt",1,4,37258.747283,1340.423785,"ops/s"
"org.wrongwrong.main.deser.T_20P_Ctor.present","thrpt",1,4,67501.603369,7607.593296,"ops/s"
"org.wrongwrong.main.deser.T_20P_Func.missing","thrpt",1,4,37109.696288,2338.822132,"ops/s"
"org.wrongwrong.main.deser.T_20P_Func.present","thrpt",1,4,49889.712724,4244.690681,"ops/s"
