"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.wrongwrong.extra.deser.value_class.A_1P_Ctor.missing","ss",1,5,41.687626,7.649895,"ms/op"
"org.wrongwrong.extra.deser.value_class.A_1P_Ctor.present","ss",1,5,46.933873,30.176082,"ms/op"
"org.wrongwrong.extra.deser.value_class.A_1P_Func.missing","ss",1,5,40.651277,3.605929,"ms/op"
"org.wrongwrong.extra.deser.value_class.A_1P_Func.present","ss",1,5,42.161694,6.728241,"ms/op"
"org.wrongwrong.extra.deser.value_class.E_5P_Ctor.missing","ss",1,5,43.620773,7.134047,"ms/op"
"org.wrongwrong.extra.deser.value_class.E_5P_Ctor.present","ss",1,5,45.809869,6.985119,"ms/op"
"org.wrongwrong.extra.deser.value_class.E_5P_Func.missing","ss",1,5,47.357083,15.214417,"ms/op"
"org.wrongwrong.extra.deser.value_class.E_5P_Func.present","ss",1,5,45.651218,8.113662,"ms/op"
"org.wrongwrong.extra.deser.value_class.T_20P_Ctor.missing","ss",1,5,53.134530,18.187590,"ms/op"
"org.wrongwrong.extra.deser.value_class.T_20P_Ctor.present","ss",1,5,53.363267,32.154315,"ms/op"
"org.wrongwrong.extra.deser.value_class.T_20P_Func.missing","ss",1,5,54.401173,13.992582,"ms/op"
"org.wrongwrong.extra.deser.value_class.T_20P_Func.present","ss",1,5,64.843000,37.303166,"ms/op"
