"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.wrongwrong.extra.deser.value_class.A_1P_Ctor.missing","thrpt",1,4,844197.692122,24783.097256,"ops/s"
"org.wrongwrong.extra.deser.value_class.A_1P_Ctor.present","thrpt",1,4,897709.070679,90166.777741,"ops/s"
"org.wrongwrong.extra.deser.value_class.A_1P_Func.missing","thrpt",1,4,815264.504259,49455.460910,"ops/s"
"org.wrongwrong.extra.deser.value_class.A_1P_Func.present","thrpt",1,4,914778.081576,116937.214105,"ops/s"
"org.wrongwrong.extra.deser.value_class.E_5P_Ctor.missing","thrpt",1,4,422431.928798,63566.170907,"ops/s"
"org.wrongwrong.extra.deser.value_class.E_5P_Ctor.present","thrpt",1,4,377373.988411,31879.250717,"ops/s"
"org.wrongwrong.extra.deser.value_class.E_5P_Func.missing","thrpt",1,4,434119.177376,77226.653942,"ops/s"
"org.wrongwrong.extra.deser.value_class.E_5P_Func.present","thrpt",1,4,370659.600779,17437.573550,"ops/s"
"org.wrongwrong.extra.deser.value_class.T_20P_Ctor.missing","thrpt",1,4,127785.585374,11331.281943,"ops/s"
"org.wrongwrong.extra.deser.value_class.T_20P_Ctor.present","thrpt",1,4,109158.204846,25423.692303,"ops/s"
"org.wrongwrong.extra.deser.value_class.T_20P_Func.missing","thrpt",1,4,121897.027768,7151.933616,"ops/s"
"org.wrongwrong.extra.deser.value_class.T_20P_Func.present","thrpt",1,4,112706.682297,21661.594202,"ops/s"
