"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.wrongwrong.extra.deser.value_class.A_1P_Ctor.missing","ss",1,10,38.300175,13.988356,"ms/op"
"org.wrongwrong.extra.deser.value_class.A_1P_Ctor.present","ss",1,10,34.733183,3.373170,"ms/op"
"org.wrongwrong.extra.deser.value_class.A_1P_Func.missing","ss",1,10,33.767881,0.833593,"ms/op"
"org.wrongwrong.extra.deser.value_class.A_1P_Func.present","ss",1,10,33.609989,0.481185,"ms/op"
"org.wrongwrong.extra.deser.value_class.E_5P_Ctor.missing","ss",1,10,36.696621,2.534269,"ms/op"
"org.wrongwrong.extra.deser.value_class.E_5P_Ctor.present","ss",1,10,37.453304,3.062160,"ms/op"
"org.wrongwrong.extra.deser.value_class.E_5P_Func.missing","ss",1,10,37.570926,3.428645,"ms/op"
"org.wrongwrong.extra.deser.value_class.E_5P_Func.present","ss",1,10,35.851373,1.204761,"ms/op"
"org.wrongwrong.extra.deser.value_class.T_20P_Ctor.missing","ss",1,10,43.068401,3.532931,"ms/op"
"org.wrongwrong.extra.deser.value_class.T_20P_Ctor.present","ss",1,10,43.721588,5.718765,"ms/op"
"org.wrongwrong.extra.deser.value_class.T_20P_Func.missing","ss",1,10,42.846154,4.836253,"ms/op"
"org.wrongwrong.extra.deser.value_class.T_20P_Func.present","ss",1,10,44.070035,5.991585,"ms/op"
