"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.wrongwrong.extra.deser.value_class.A_1P_Ctor.missing","thrpt",1,9,770139.220007,59114.852004,"ops/s"
"org.wrongwrong.extra.deser.value_class.A_1P_Ctor.present","thrpt",1,9,857318.650655,13910.906531,"ops/s"
"org.wrongwrong.extra.deser.value_class.A_1P_Func.missing","thrpt",1,9,801366.225857,20281.015732,"ops/s"
"org.wrongwrong.extra.deser.value_class.A_1P_Func.present","thrpt",1,9,855271.280905,12753.780431,"ops/s"
"org.wrongwrong.extra.deser.value_class.E_5P_Ctor.missing","thrpt",1,9,395285.726428,13754.046684,"ops/s"
"org.wrongwrong.extra.deser.value_class.E_5P_Ctor.present","thrpt",1,9,336056.204381,5119.630241,"ops/s"
"org.wrongwrong.extra.deser.value_class.E_5P_Func.missing","thrpt",1,9,387527.640684,4046.377104,"ops/s"
"org.wrongwrong.extra.deser.value_class.E_5P_Func.present","thrpt",1,9,337287.861687,7975.349036,"ops/s"
"org.wrongwrong.extra.deser.value_class.T_20P_Ctor.missing","thrpt",1,9,102631.461620,2569.049986,"ops/s"
"org.wrongwrong.extra.deser.value_class.T_20P_Ctor.present","thrpt",1,9,97910.964775,5260.348258,"ops/s"
"org.wrongwrong.extra.deser.value_class.T_20P_Func.missing","thrpt",1,9,103735.193761,2174.372671,"ops/s"
"org.wrongwrong.extra.deser.value_class.T_20P_Func.present","thrpt",1,9,95410.692591,3306.347541,"ops/s"
